Company Name,Scrip Name,URL,Sector,Identifier
Amrapali Cap,ACF05,https://www.moneycontrol.com/india/stockpricequote/financegeneral/amrapalicapitalfinanceservices/ACF05,financegeneral,amrapalicapitalfinanceservices
Amrapali Ind,AI16,https://www.moneycontrol.com/india/stockpricequote/trading/amrapaliindustries/AI16,trading,amrapaliindustries
Amrit Corp,AC20,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/amritcorporation/AC20,vanaspatioils,amritcorporation
Amrutanjan Heal,AHC01,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/amrutanjanhealthcare/AHC01,pharmaceuticals,amrutanjanhealthcare
Amsons Apparels,AA09,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/amsonsapparels/AA09,textilesreadymadeapparels,amsonsapparels
Amzel Auto,AA03,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amzelautomotive/AA03,autoancillaries,amzelautomotive
Anand Cotspin,AC04,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/anandcotspin/AC04,textilesspinningcottonblended,anandcotspin
Anand Rathi,ARW,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/anandrathiwealth/ARW,financeinvestment,anandrathiwealth
Anco Comm,AC05,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/ancocommunications/AC05,telecommunicationsequipment,ancocommunications
Andhra Cement,AC16,https://www.moneycontrol.com/india/stockpricequote/cementmajor/andhracement/AC16,cementmajor,andhracement
Andhra Pradesh,APS01,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/andhrapradeshscooters/APS01,auto23wheelers,andhrapradeshscooters
ANDHRSUGAR,AS18,https://www.moneycontrol.com/india/stockpricequote/andhrsugar/theandhrasugar/AS18,andhrsugar,theandhrasugar
Aneri Fincap,FI02,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/anerifincap/FI02,financeleasinghirepurchase,anerifincap
